epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,3678.13,1.46484,1.15633,0.01427,0.72871,0.70202,0.75121,0.42948,1.5799,1.11361,0.02068,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,3797.65,1.45652,1.15668,0.01427,0.74161,0.69038,0.75276,0.41974,1.56937,1.13009,0.02022,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,3917.62,1.44892,1.13001,0.01397,0.74859,0.70609,0.76489,0.43803,1.57135,1.0931,0.02035,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,4037.73,1.44546,1.14195,0.01405,0.74233,0.70992,0.76816,0.43719,1.55426,1.08498,0.02013,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,4151.59,1.43106,1.10707,0.01406,0.75636,0.70935,0.7732,0.44502,1.55145,1.08,0.01984,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,4266.22,1.43012,1.09194,0.01393,0.74949,0.72246,0.77837,0.44998,1.54337,1.08603,0.01964,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,4381.58,1.41909,1.08657,0.01368,0.76392,0.72491,0.78161,0.45609,1.53386,1.05785,0.0196,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,4497.25,1.40993,1.06612,0.0137,0.76645,0.69957,0.77083,0.44708,1.57519,1.10777,0.0206,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,4611.69,1.40839,1.06123,0.01384,0.77278,0.7147,0.77523,0.45579,1.52903,1.07821,0.01942,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,4726.42,1.39987,1.0559,0.01332,0.78466,0.72733,0.7973,0.47123,1.50883,1.02721,0.01921,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,4841.32,1.39096,1.03872,0.01339,0.76833,0.73442,0.79195,0.46772,1.52286,1.01992,0.01929,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,4955.56,1.38126,1.02147,0.01321,0.79083,0.73356,0.80442,0.4797,1.50869,0.99808,0.01905,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
