epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,395.058,1.84269,3.4784,0.02474,0.35765,0.40039,0.31054,0.12574,1.99503,2.29063,0.03564,0.00999125,0.00333042,0.00999125,0.00333042,0.00999125,0.00333042,0.00999125,0.00333042
2,758.298,1.7953,2.21438,0.02275,0.38303,0.31487,0.2733,0.10507,2.05896,2.66371,0.03576,0.0197933,0.00659778,0.0197933,0.00659778,0.0197933,0.00659778,0.0197933,0.00659778
3,1177.25,1.83622,2.22937,0.02349,0.36366,0.38108,0.30647,0.11642,2.09272,2.36084,0.03645,0.0293974,0.00979914,0.0293974,0.00979914,0.0293974,0.00979914,0.0293974,0.00979914
4,1510.08,1.8492,2.27838,0.0233,0.43728,0.42622,0.38638,0.15566,1.97239,2.15178,0.0333,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1840.13,1.80575,2.12863,0.02259,0.45841,0.4519,0.40837,0.16831,1.91974,2.0802,0.03224,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2170.26,1.75689,2.04075,0.02139,0.5117,0.50531,0.48421,0.20677,1.90264,1.87652,0.03193,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2513.19,1.72264,1.9761,0.02078,0.51107,0.48259,0.48014,0.20733,1.84863,1.9067,0.03019,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2881.42,1.69721,1.93161,0.02034,0.5391,0.51703,0.51334,0.23084,1.80098,1.79464,0.02921,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3286.98,1.6867,1.86455,0.02009,0.54614,0.50698,0.50668,0.22609,1.82132,1.81834,0.02975,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3621.36,1.67686,1.83759,0.02004,0.57668,0.54632,0.55014,0.24657,1.82645,1.706,0.02995,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3952.71,1.65497,1.79902,0.0194,0.594,0.56319,0.57028,0.26634,1.78211,1.63248,0.02873,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4284.95,1.64049,1.74337,0.01899,0.58538,0.56889,0.57564,0.27334,1.75813,1.61573,0.02784,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4618.21,1.62168,1.70318,0.01869,0.61445,0.58739,0.59604,0.28152,1.75006,1.57085,0.02813,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4949.39,1.62244,1.68609,0.01854,0.62756,0.58933,0.6139,0.29714,1.72912,1.53411,0.02741,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,5282.37,1.62055,1.63589,0.01863,0.63176,0.60201,0.63148,0.3048,1.74754,1.45723,0.02771,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5612.68,1.60413,1.62929,0.01831,0.63654,0.59213,0.62319,0.3009,1.73438,1.52244,0.02754,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5964.12,1.58989,1.604,0.01793,0.67215,0.60513,0.65051,0.32438,1.68579,1.46487,0.0262,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,6307.19,1.58093,1.58035,0.01812,0.6587,0.60299,0.63554,0.31742,1.701,1.45573,0.02649,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,6642.4,1.58037,1.53284,0.0178,0.64707,0.61004,0.65302,0.32452,1.70425,1.43915,0.02652,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6972.78,1.56339,1.53639,0.01758,0.65523,0.61874,0.65267,0.33385,1.67372,1.39598,0.02557,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,7302.76,1.54882,1.49549,0.01744,0.64149,0.62932,0.66334,0.3382,1.6913,1.3633,0.02587,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,7636.03,1.54215,1.49284,0.01727,0.65923,0.61732,0.66657,0.34364,1.64086,1.39094,0.02472,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,7971.81,1.52652,1.4744,0.01707,0.66365,0.6376,0.67143,0.34474,1.6647,1.34255,0.02509,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,8309.39,1.52879,1.4482,0.01726,0.67734,0.64902,0.69296,0.36003,1.66439,1.30348,0.02498,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,8640.86,1.52258,1.42525,0.01689,0.68264,0.63342,0.68847,0.3555,1.66316,1.33095,0.02538,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,8970.4,1.52351,1.44857,0.01697,0.6778,0.63775,0.68427,0.36118,1.63946,1.31987,0.02434,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,9300.81,1.51215,1.39895,0.01651,0.67515,0.64683,0.68878,0.36066,1.65181,1.30473,0.02516,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,9631.91,1.49686,1.39288,0.01668,0.66507,0.63017,0.67689,0.35623,1.62827,1.34879,0.02423,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,9963.01,1.49081,1.37511,0.01633,0.69787,0.66361,0.71362,0.37628,1.64627,1.24192,0.02466,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,10294.7,1.48819,1.33651,0.01633,0.70209,0.65361,0.70889,0.37765,1.63119,1.25945,0.02479,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,10626.6,1.47532,1.33346,0.01609,0.7068,0.67926,0.72619,0.38878,1.63684,1.23537,0.02466,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,10956.6,1.46887,1.32495,0.016,0.69287,0.6721,0.72104,0.38322,1.62325,1.2281,0.02445,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,11286.5,1.45295,1.30436,0.01585,0.71395,0.67554,0.72687,0.39084,1.60971,1.20058,0.02415,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,11619.7,1.45509,1.2976,0.01593,0.7188,0.68338,0.73515,0.39971,1.60585,1.20136,0.024,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,11961.5,1.44693,1.26979,0.0158,0.75,0.67736,0.74717,0.40131,1.63187,1.16111,0.02484,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,12295.2,1.42851,1.26495,0.01531,0.7246,0.68308,0.74051,0.40773,1.58903,1.18247,0.02333,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,12625.4,1.42166,1.2287,0.01562,0.723,0.69983,0.74909,0.40737,1.6167,1.15224,0.02396,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,12954.1,1.42195,1.20864,0.01541,0.7249,0.69501,0.74525,0.41185,1.5855,1.17442,0.02337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,13283.9,1.41641,1.20921,0.01539,0.73545,0.69282,0.75111,0.41116,1.5863,1.16126,0.02327,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,13615.2,1.41419,1.19807,0.01518,0.74578,0.69889,0.76571,0.42508,1.58286,1.12703,0.02317,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,13947,1.39379,1.16784,0.01486,0.75263,0.71404,0.77228,0.42541,1.5911,1.09452,0.02377,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,14277.6,1.39938,1.13377,0.01505,0.75549,0.70913,0.76734,0.42739,1.5881,1.1072,0.02337,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,14608.2,1.38383,1.13304,0.01494,0.76679,0.70613,0.77334,0.42894,1.58991,1.106,0.02387,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,14938.6,1.37695,1.1157,0.01482,0.76281,0.71721,0.7742,0.43642,1.57823,1.08709,0.02323,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,15269,1.37308,1.11102,0.01484,0.75911,0.70914,0.77634,0.44225,1.55428,1.09528,0.02248,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,15600,1.36796,1.10309,0.01442,0.7687,0.71879,0.77992,0.4378,1.56901,1.10314,0.02317,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,15929.6,1.34844,1.11475,0.01471,0.7733,0.71948,0.7841,0.43804,1.56752,1.0953,0.02337,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,16259,1.35017,1.09003,0.01462,0.75803,0.72343,0.78227,0.44291,1.56161,1.07489,0.02302,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,16589.8,1.33388,1.06175,0.01416,0.78026,0.73742,0.79355,0.45353,1.5406,1.04666,0.02246,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,16919.8,1.32458,1.0503,0.01423,0.79103,0.73695,0.79667,0.45923,1.55316,1.02755,0.02284,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,17250.6,1.31904,1.02064,0.01407,0.78248,0.7318,0.79346,0.45671,1.54373,1.04108,0.0229,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,17580.4,1.31255,1.00988,0.0141,0.77899,0.74804,0.80237,0.45952,1.54184,1.02932,0.0228,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,17910.4,1.30735,0.98621,0.01388,0.79221,0.73181,0.80212,0.46696,1.52142,1.02015,0.02211,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,18241,1.29123,0.98061,0.01373,0.78736,0.75657,0.8114,0.47273,1.53078,1.00495,0.02232,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,18571.4,1.28604,0.973,0.01375,0.79492,0.74776,0.80886,0.4752,1.52027,1.01003,0.02189,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,18923.1,1.27603,0.96654,0.01343,0.79058,0.76013,0.81034,0.47465,1.52104,0.99826,0.02196,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,19257,1.26343,0.93245,0.0134,0.8015,0.76426,0.81929,0.47907,1.52901,0.97457,0.02259,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,19600.4,1.26913,0.94353,0.01351,0.80488,0.76858,0.82366,0.48654,1.51134,0.96524,0.02192,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,19934.5,1.25108,0.91592,0.01315,0.80272,0.76518,0.82444,0.48969,1.50437,0.96398,0.02183,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,20264.8,1.23301,0.91019,0.0129,0.7962,0.77354,0.82428,0.4924,1.50461,0.9633,0.02165,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,20595.5,1.23026,0.90983,0.01298,0.80706,0.76879,0.82714,0.49564,1.49669,0.95945,0.02147,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,20925.7,1.21826,0.8953,0.01283,0.81049,0.7606,0.82453,0.49491,1.49549,0.95886,0.02155,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
