epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,2946.04,1.45657,1.17967,0.01418,0.74378,0.70627,0.75491,0.42683,1.57096,1.12829,0.02027,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,3042.11,1.44803,1.15688,0.0142,0.72725,0.69401,0.7508,0.42705,1.56467,1.13073,0.02043,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,3137.82,1.43462,1.13023,0.01382,0.75392,0.69684,0.76096,0.43645,1.56015,1.10484,0.02023,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,3230,1.4377,1.12585,0.01397,0.73742,0.67339,0.73912,0.40934,1.61168,1.18927,0.02179,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,3320.41,1.4242,1.12324,0.01419,0.73322,0.69978,0.7538,0.4297,1.54311,1.1447,0.01988,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,3410.37,1.42499,1.11107,0.0137,0.75466,0.71393,0.7624,0.43716,1.56477,1.10656,0.02034,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,3503.34,1.42389,1.08974,0.01356,0.76131,0.72867,0.77956,0.44694,1.54987,1.06103,0.01999,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,3595.66,1.40833,1.08802,0.01377,0.75904,0.71051,0.77113,0.44616,1.54951,1.0751,0.02002,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,3687.18,1.39972,1.05948,0.01366,0.76125,0.72581,0.78207,0.45984,1.53137,1.07312,0.01975,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,3780.23,1.40053,1.04656,0.0134,0.77726,0.72338,0.78682,0.46134,1.5288,1.06637,0.01966,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,3874.78,1.38966,1.02642,0.01334,0.78008,0.70876,0.77608,0.45317,1.54639,1.08849,0.02013,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,3966.13,1.38225,1.02077,0.01326,0.77175,0.72638,0.78767,0.4663,1.53995,1.04407,0.01991,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,4055.91,1.37096,1.00163,0.01319,0.78216,0.72779,0.79447,0.47374,1.52086,1.03896,0.01942,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,4146.24,1.37469,0.99443,0.01323,0.78224,0.73188,0.79303,0.46496,1.5438,1.02832,0.02,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,4235.48,1.36957,0.9905,0.01319,0.79223,0.73816,0.79836,0.4741,1.52392,1.02069,0.01961,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,4325.73,1.36524,0.96376,0.01283,0.78629,0.732,0.79745,0.47647,1.51197,1.02203,0.01942,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,4415.48,1.34682,0.94823,0.01288,0.79886,0.74876,0.8083,0.48337,1.50804,0.99508,0.01911,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,4505.96,1.34858,0.94151,0.0128,0.78166,0.75728,0.80937,0.4837,1.51583,1.00012,0.01931,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,4596.07,1.33274,0.93874,0.0126,0.78528,0.75447,0.8106,0.48776,1.51423,1.00481,0.0192,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,4686.73,1.33703,0.93748,0.01274,0.78178,0.75121,0.80733,0.486,1.49836,1.00561,0.01894,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,4776.55,1.32034,0.92191,0.0125,0.80261,0.75591,0.81578,0.4955,1.49516,0.97385,0.01881,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,4866.31,1.31763,0.91973,0.01252,0.81419,0.75046,0.81754,0.49662,1.48403,0.98635,0.01884,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,4956.34,1.30623,0.90464,0.01231,0.81,0.76248,0.82146,0.50139,1.49347,0.95828,0.01908,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,5048.03,1.30198,0.89113,0.01233,0.79544,0.77052,0.8219,0.50414,1.4866,0.9542,0.01885,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,5138.53,1.30139,0.88022,0.01215,0.81435,0.75549,0.82001,0.50466,1.48325,0.97257,0.01874,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,5228.86,1.29065,0.86772,0.0122,0.80711,0.77158,0.8201,0.50686,1.47859,0.95919,0.01866,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,5318.92,1.28802,0.87929,0.01231,0.80335,0.76919,0.82298,0.50752,1.47429,0.96556,0.01854,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,5409.18,1.27009,0.84585,0.01201,0.80074,0.77631,0.8255,0.51076,1.47094,0.95909,0.01847,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,5499.39,1.27631,0.84722,0.01198,0.8209,0.77068,0.8287,0.51359,1.46833,0.95234,0.01841,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,5589.68,1.26217,0.83876,0.01178,0.81893,0.77606,0.82937,0.51414,1.46681,0.95059,0.01832,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,5679.83,1.26102,0.82086,0.01172,0.81608,0.78036,0.83585,0.52107,1.46549,0.95708,0.01828,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,5770.06,1.26009,0.81957,0.01166,0.82531,0.77111,0.83369,0.52281,1.46671,0.9182,0.01839,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,5860.18,1.24207,0.81071,0.01142,0.82847,0.7786,0.84154,0.52599,1.45169,0.91864,0.01822,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,5950.58,1.241,0.81363,0.01163,0.83249,0.78208,0.84297,0.52901,1.43831,0.90628,0.01794,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,6040.94,1.23524,0.80773,0.01157,0.82576,0.79283,0.84294,0.53551,1.42812,0.91101,0.01771,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,6132.16,1.23081,0.79411,0.01151,0.82982,0.77535,0.83854,0.53217,1.44298,0.93591,0.01811,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,6220.98,1.22402,0.78582,0.01121,0.82461,0.78655,0.83913,0.53627,1.43665,0.9268,0.01807,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,6311.29,1.21127,0.77703,0.01118,0.82955,0.78604,0.84188,0.53761,1.43882,0.92892,0.01796,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,6401.56,1.20356,0.77719,0.0111,0.82943,0.79668,0.84573,0.54406,1.42852,0.89888,0.01782,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,6492.96,1.19413,0.76609,0.01108,0.84487,0.79234,0.84855,0.54629,1.42154,0.90137,0.01772,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,6584.32,1.2025,0.75551,0.01127,0.82634,0.79639,0.84703,0.54567,1.41556,0.91048,0.01764,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
