epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,391.953,1.84269,3.4784,0.02474,0.35765,0.40039,0.31054,0.12574,1.99503,2.29063,0.03564,0.00999125,0.00333042,0.00999125,0.00333042,0.00999125,0.00333042,0.00999125,0.00333042
2,779.101,1.79066,2.22266,0.0226,0.3742,0.37417,0.30604,0.11905,2.04652,2.41642,0.03661,0.0198923,0.00663076,0.0198923,0.00663076,0.0198923,0.00663076,0.0198923,0.00663076
3,1195.96,1.82962,2.25122,0.02341,0.36844,0.36444,0.30069,0.11251,2.0731,2.42166,0.03608,0.0296943,0.00989811,0.0296943,0.00989811,0.0296943,0.00989811,0.0296943,0.00989811
4,1596.19,1.86297,2.25843,0.02364,0.41452,0.43486,0.36355,0.14731,1.97336,2.19946,0.03343,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,2123.46,1.8142,2.10802,0.02261,0.47365,0.44615,0.42223,0.17664,1.9125,2.04461,0.0323,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2450.91,1.77032,1.99808,0.02158,0.51048,0.46536,0.45657,0.19398,1.90679,2.01587,0.03178,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2790.32,1.74431,1.93674,0.02109,0.54349,0.48358,0.49127,0.21697,1.85513,1.85372,0.03062,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,3334.32,1.716,1.89057,0.02066,0.53574,0.51621,0.51643,0.22781,1.84173,1.80223,0.02939,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3751.96,1.69746,1.85139,0.02025,0.54452,0.53328,0.52977,0.237,1.79367,1.75619,0.02884,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,4077.21,1.69515,1.82159,0.02023,0.56202,0.53511,0.53595,0.2382,1.82818,1.72632,0.02982,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,4407.35,1.65667,1.78766,0.01936,0.57399,0.54895,0.55664,0.2617,1.75949,1.67362,0.02802,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,4731.5,1.65517,1.727,0.01921,0.59601,0.55408,0.57913,0.27832,1.74824,1.61389,0.02759,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,5055.4,1.63951,1.69664,0.019,0.61172,0.58375,0.60531,0.29316,1.73322,1.53776,0.02707,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,5379.42,1.63034,1.67689,0.01864,0.61917,0.57553,0.6023,0.29443,1.73966,1.55817,0.02706,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,5704.99,1.62019,1.65025,0.01872,0.60705,0.58228,0.60225,0.28861,1.73483,1.57302,0.02699,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,6028.02,1.61075,1.65178,0.01833,0.63015,0.58036,0.60957,0.29895,1.7253,1.54479,0.02683,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,6353.42,1.59215,1.62063,0.01798,0.62273,0.58594,0.61721,0.3045,1.71406,1.51951,0.027,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,6680.57,1.59046,1.58448,0.01825,0.63369,0.60249,0.62871,0.31258,1.71652,1.43667,0.02664,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,7007.27,1.58577,1.54812,0.0179,0.62634,0.60748,0.63231,0.31499,1.70296,1.44401,0.02659,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,7340.67,1.57647,1.52742,0.0178,0.66295,0.62822,0.66428,0.33546,1.71484,1.37105,0.02649,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,7671.23,1.57173,1.51496,0.01785,0.66185,0.6266,0.65825,0.32272,1.7161,1.39262,0.0267,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,8015.65,1.55247,1.52364,0.01758,0.64272,0.63643,0.65519,0.32557,1.71161,1.41048,0.02671,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,8345.46,1.54597,1.50706,0.01752,0.65761,0.63774,0.66492,0.34042,1.66795,1.37083,0.02521,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,8680.1,1.55031,1.48222,0.01768,0.67354,0.63652,0.67579,0.35253,1.65125,1.35894,0.02505,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,9023.69,1.53623,1.4649,0.01724,0.68789,0.6437,0.69136,0.35597,1.66486,1.32494,0.02537,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,9347.68,1.53492,1.47016,0.01726,0.67303,0.6225,0.67352,0.35267,1.66147,1.33327,0.02552,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,9669.44,1.53126,1.445,0.01685,0.67323,0.6462,0.68864,0.35882,1.66623,1.30854,0.02546,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,9992.62,1.51453,1.42192,0.017,0.69602,0.65106,0.69657,0.35608,1.68256,1.29179,0.02595,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,10341.6,1.50552,1.41723,0.01667,0.68523,0.6517,0.70512,0.37129,1.63705,1.27228,0.0244,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,10689.2,1.4995,1.39081,0.0166,0.69954,0.64776,0.6973,0.36675,1.64694,1.30238,0.02524,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,11051.4,1.49616,1.38131,0.01651,0.68668,0.6558,0.70009,0.36628,1.68235,1.29896,0.02604,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,11388.5,1.49663,1.36689,0.01658,0.70779,0.66273,0.71965,0.38178,1.62885,1.24454,0.02472,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,11725.4,1.47819,1.35363,0.01629,0.70792,0.66828,0.72437,0.38421,1.62833,1.22673,0.02476,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,12049.8,1.4896,1.34639,0.01661,0.70397,0.68126,0.72242,0.38246,1.63593,1.22675,0.02529,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,12372.8,1.48725,1.30796,0.01662,0.71204,0.67428,0.72265,0.38903,1.6338,1.18994,0.02432,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
